post_id,title,category,score,num_comments,author,collected_at
49419381,What my dad taught me about AI coding in the 90s,technology,52,12,askmike,2026-08-30 14:39:20.429651
49498095,No AI Fridays,technology,46,17,xendo,2026-08-30 14:39:20.621649
49496918,Arbitrary code execution in QubesOS via copy-to-VM error reporting backchannel,technology,121,48,vntok,2026-08-30 14:39:20.718469
49496782,Longest Straight Line Paths on Water or Land on the Earth (2018),technology,143,38,joebig,2026-08-30 14:39:20.810164
49426995,SQLite as a Document Database (2020),technology,231,54,lioeters,2026-08-30 14:39:22.859503
49497357,Fair Work Commission condemns 'plain wrong' AI legal advice,technology,41,17,martyvis,2026-08-30 14:39:22.944398
49494182,Lawmakers added $1 to car insurance policies. That money paid for Flock cameras,technology,360,232,DeepLogin,2026-08-30 14:39:23.061550
49498002,Leak of Internal Valve Data,technology,13,2,thispbowden,2026-08-30 14:39:23.651205
49494571,Open Oscar Server: open-source server compatible with AIM and ICQ clients,technology,51,18,gregsadetsky,2026-08-30 14:39:23.996219
49491568,"Good Culture Is the Biggest Productivity Hack, Not AI",technology,418,102,gpi,2026-08-30 14:39:24.355229
49498133,Nobody Told Me People Still Code New Games for a 1982 Computer,technology,8,1,01-_-,2026-08-30 14:39:24.926572
49486081,"StemDeck, a free, open-source and local AI stem separator",technology,231,61,thclpr,2026-08-30 14:39:25.042482
49497996,The shrinking landscape of linguistic diversity in the age of LLMs,technology,5,1,Anon84,2026-08-30 14:39:26.025762
49492584,Domain-Driven Agents,technology,88,20,AlarQ,2026-08-30 14:39:26.360304
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",technology,125,37,guillaumec,2026-08-30 14:39:27.691879
49479072,Verschlimmbesserung: The Word Your Software Updates Need,technology,176,119,speckx,2026-08-30 14:39:28.229464
49497883,LLM usage in Debian neither endorsed nor prohibited,technology,5,2,birdculture,2026-08-30 14:39:28.527080
49495845,The Internet Archive's Vintage AI Collection,technology,22,1,OuterVale,2026-08-30 14:39:29.674090
49477854,U.S. sanctions against the A/I Collective,technology,702,761,exiguus,2026-08-30 14:39:30.055769
49485416,I accidentally turned LLM memory into program analysis,technology,297,80,matt_d,2026-08-30 14:39:30.419280
49475079,Luanti removed from Google Play due to baseless AI copyright notice,technology,518,151,miniBill,2026-08-30 14:39:31.137147
49496292,Smartphone LED Detects Hidden Cameras with AI,technology,14,1,geox,2026-08-30 14:39:32.439554
49497235,Nvidia's AI advantage is moving beyond the GPU,technology,12,6,01-_-,2026-08-30 14:39:32.890730
49415923,Sloc Cloc and Code 4.0 (scc) – Finding the files that need the most attention,technology,46,12,boyter,2026-08-30 14:39:33.169552
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,167,69,tuckerwales,2026-08-30 14:39:24.245298
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,58,14,mooreds,2026-08-30 14:39:27.240221
49485532,Does the Sumerian King List Align with Paleoclimate Events?,worldnews,133,80,dev_l1x_be,2026-08-30 14:39:28.908194
49475979,Interactive Warhammer 40k Galaxy Map,worldnews,156,57,gbxyz,2026-08-30 14:39:30.507701
49441316,Global demand for sand spawned a worldwide boom in illegal mining (2015),worldnews,75,29,EndXA,2026-08-30 14:39:31.326621
49490702,GrapheneOS project: pixel 11 no longer supports hardware memory tagging (MTE),worldnews,299,169,400thecat,2026-08-30 14:39:31.417151
49468834,Previewing the Model Hardware Standard,worldnews,134,59,surprisetalk,2026-08-30 14:39:36.246791
49464391,"US Government designates host of noblogs.org a ""global terrorist""",worldnews,279,157,robtherobber,2026-08-30 14:39:37.068361
49489939,Global Trade and the United States Navy,worldnews,7,2,Pwntheon,2026-08-30 14:39:37.997464
49496513,"What happens to a country when everyone leaves? Tuvalu, an island nation [video]",worldnews,6,0,thelastgallon,2026-08-30 14:39:38.099979
49432201,How credit card rewards became a $9.2B wealth transfer,worldnews,255,451,conbrian,2026-08-30 14:39:39.447381
49495171,No Country for Mediocre Mathematicians,worldnews,30,8,reasonableklout,2026-08-30 14:39:43.197400
49479898,"Barrier lake continues to pose flood risk, China warns",worldnews,89,23,r721,2026-08-30 14:39:46.584090
49492432,Warp builds self-improving agents on Claude,worldnews,58,57,shenli3514,2026-08-30 14:39:48.993023
49495977,America's long march toward Chinese-style surveillance state,worldnews,10,1,pir8life4me,2026-08-30 14:39:52.617514
49425800,Vintage Artificial Intelligence: Before It Got Awkward,worldnews,163,31,signor_bosco,2026-08-30 14:39:53.084764
49422227,Characterizing Agentic Flooding of Government Services,worldnews,82,87,lensecat,2026-08-30 14:39:54.843027
49475404,"Climate change is strengthening El Niño, coral records suggest",worldnews,121,123,shymaple,2026-08-30 14:40:01.763031
49454366,Six government passport CAs that Python rejects and OpenSSL accepts,worldnews,18,6,Eginn-33,2026-08-30 14:40:04.475791
49479872,Army Awards $2.2B for 'Microreactors' On U.S. Bases,worldnews,19,3,lxm,2026-08-30 14:40:06.167176
49435495,"Otto Dix, Nietzsche, and the Great War (2019)",worldnews,42,28,samizdis,2026-08-30 14:40:07.256385
49497819,An implementation of Conway's Game of Life for Windows 3.1x and later,sports,27,3,Bluestein,2026-08-30 14:39:21.002203
49456819,Europe's last regular standard-gauge steam passenger service,sports,112,26,GungulSurm,2026-08-30 14:39:26.795089
49489968,SteamOS 3.9.0 Preview,sports,41,25,EspadaV9,2026-08-30 14:39:44.175792
49466006,Decompiling a Nintendo 64 game in 84 days,sports,268,181,knackers,2026-08-30 14:39:47.065763
49422784,The entire city of San Francisco as a video game,sports,610,172,centrosphere,2026-08-30 14:39:52.707529
49477217,"Show HN: Texttile, a multiplayer blog engine for people who write together",sports,13,3,klausbreyer,2026-08-30 14:39:55.891807
49463464,Two Alleged 'TeamPCP' Hackers Arrested in Australia,sports,20,2,hacb,2026-08-30 14:40:00.714213
49490870,Nancy Grace Roman Space Telescope,science,243,86,JumpCrisscross,2026-08-30 14:39:22.488474
49486172,Our decision on Cursor following its acquisition by SpaceX,science,822,513,meetpateltech,2026-08-30 14:39:29.365242
49481455,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,science,118,40,stephenchung,2026-08-30 14:39:30.231249
49493244,What we want is a hunter gatherer lifestyle with space age tools (2022),science,78,88,bilsbie,2026-08-30 14:39:31.613044
49477925,Interactive pattern discovery in binaries (FF-16-TUI),science,30,3,HexLasso,2026-08-30 14:39:39.261863
49420530,Peppermint oil reduces blood pressure by 8.48 mmHg in small study,science,231,108,brandonb,2026-08-30 14:39:56.715004
49466989,Why HPSC Is a Big Deal for Space Exploration,science,27,8,mooreds,2026-08-30 14:39:58.696845
49467699,Compromising Signal's Contact Discovery Enclave (SGX),science,12,4,RobLach,2026-08-30 14:40:04.388224
49497227,Show HN: Bolnee-Chat – Self Hosted Chatbot Integration in Your Business Website,entertainment,29,0,AniketWathore,2026-08-30 14:39:23.391463
49447178,Show HN: Typebase – A single-folder back end you write in TypeScript,entertainment,109,30,andrewww-dev,2026-08-30 14:39:26.140826
49497217,Memo to Ridley Scott: no one needs more Alien: Covenant movies,entertainment,11,9,dtnm,2026-08-30 14:39:27.959892
49438865,"Show HN: I missed the moving blocks, so I built a real Linux disk defragmenter",entertainment,74,61,gbin,2026-08-30 14:39:29.170525
49476894,Show HN: SubSmith – Turn your own videos into language-learning material,entertainment,73,51,IbrahimF96,2026-08-30 14:39:32.341118
49483038,"Show HN: Sesame - a local-first, open-source password manager",entertainment,62,84,d0mkaaa,2026-08-30 14:39:33.353543
49461817,Show HN: The load-bearing vocabulary of Claude,entertainment,688,321,Labo333,2026-08-30 14:39:33.636258
49428343,"Box of 300 Love Letters Showed Up, What Whimsical WWII Soldier Who Wrote Them?",entertainment,40,8,gmays,2026-08-30 14:39:34.622104
49491755,Show HN: Flint – A minimal C/C++ package manager and build tool written in C,entertainment,11,2,mbhatt99,2026-08-30 14:39:35.093653
49491968,Show HN: PhpEZ – A tiny PHP framework for shared LAMP hosting,entertainment,9,2,qcfe,2026-08-30 14:39:36.974660
49471965,"Show HN: OpenTIE and OpenXWA, Modern Ports of Tie Fighter and X-Wing Alliance",entertainment,223,57,elyosh,2026-08-30 14:39:37.340327
49466704,"Show HN: Watches user sessions, finds bugs that matter, and fixes them",entertainment,39,11,aray07,2026-08-30 14:39:40.305857
49489682,"Show HN: The impact that made the Moon, 262k particles in a browser tab",entertainment,9,8,gaploid,2026-08-30 14:39:40.579593
49471407,Show HN: We built open OpenRouter that turns usage into a better model,entertainment,219,46,SilenN,2026-08-30 14:39:41.502062
49452037,Show HN: Build your own theme park,entertainment,56,25,thealexanderlee,2026-08-30 14:39:42.904881
49492298,Breaking persistent undo shows Neovim can't be trusted,entertainment,16,2,hoorible,2026-08-30 14:39:43.299474
49418813,Review: Chuwi's $449 Unibook laptop is a funhouse-mirror MacBook Neo,entertainment,57,40,rbanffy,2026-08-30 14:39:46.001230
49468816,Show HN: Voronoi Go,entertainment,155,26,igpay,2026-08-30 14:39:46.780725
49481956,Show HN: Blast – Open-source sandbox-as-a-service,entertainment,11,0,calebhwin,2026-08-30 14:39:46.968843
49488996,Show HN: Qwiksi a CLI tool for adding your signature to a PDFs,entertainment,9,0,krisraven,2026-08-30 14:39:47.631093
49467551,"Show HN: My Claude quota ran out in 10 minutes, so I made a tool to find out why",entertainment,88,67,sachinneravath,2026-08-30 14:39:47.911077
49445286,Show HN: Buslens – where can I get to by bus? (UK),entertainment,83,55,RobinL,2026-08-30 14:39:48.453920
49465291,Show HN: Restoredrill – proves your Postgres backups restore,entertainment,49,23,ahmadpiran,2026-08-30 14:39:49.633098
49464459,Show HN: RealDiff – runtime behavior diffing for pull requests (six languages),entertainment,40,10,issacnitin,2026-08-30 14:39:51.170607
